,Course_Title,Organization,Course_Type,Course_Rating,Difficulty_Level,Enrolled_Students,Students
262,English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed,130k,130000.0
263,English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42k,42000.0
264,"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,110k,110000.0
265,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2.4k,2400.0
266,Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,7.9k,7900.0
267,Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110k,110000.0
268,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed,86k,86000.0
269,Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,38k,38000.0
270,Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,31k,31000.0
271,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,20k,20000.0
272,Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69k,69000.0
273,Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,45k,45000.0
274,"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,23k,23000.0
275,Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6.4k,6400.0
276,Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,31000.0
277,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,130k,130000.0
278,Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed,35k,35000.0
279,Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7.2k,7200.0
280,Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1.8k,1800.0
281,Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,14k,14000.0
282,Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,68k,68000.0
283,Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,83k,83000.0
284,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4.1k,4100.0
285,Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54k,54000.0
286,Essentials of Global Health,Yale University,COURSE,4.8,Mixed,31k,31000.0
287,Estadística y probabilidad,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,27k,27000.0
288,Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13k,13000.0
289,"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,11k,11000.0
290,Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,86k,86000.0
291,Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,240k,240000.0
292,Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,39k,39000.0
293,Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,200k,200000.0
294,Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,76k,76000.0
295,Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39k,39000.0
296,Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,490k,490000.0
297,Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56k,56000.0
298,"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,54k,54000.0
299,Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,170k,170000.0
300,Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28k,28000.0
301,Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,180k,180000.0
302,Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,18k,18000.0
303,FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,9.7k,9700.0
304,FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13k,13000.0
305,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12k,12000.0
306,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260k,260000.0
307,Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69k,69000.0
308,Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12k,12000.0
309,Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65k,65000.0
310,Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10k,10000.0
311,Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,100k,100000.0
312,Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76k,76000.0
313,Financial Markets,Yale University,COURSE,4.8,Beginner,470k,470000.0
314,Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60k,60000.0
315,Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,12000.0
316,Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6.5k,6500.0
317,Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24k,24000.0
318,Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30k,30000.0
319,Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310k,310000.0
320,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36k,36000.0
321,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20k,20000.0
322,First Step Korean,Yonsei University,COURSE,4.9,Beginner,400k,400000.0
323,Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57k,57000.0
324,Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42k,42000.0
325,Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4.4k,4400.0
326,Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14k,14000.0
327,Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63k,63000.0
328,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62k,62000.0
329,Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,31000.0
330,Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64k,64000.0
331,Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27k,27000.0
332,Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89k,89000.0
333,Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3.2k,3200.0
334,From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26k,26000.0
335,From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52k,52000.0
336,Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45k,45000.0
337,Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89k,89000.0
338,Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150k,150000.0
339,Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140k,140000.0
340,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170k,170000.0
341,Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220k,220000.0
342,Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30k,30000.0
343,Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39k,39000.0
344,Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200k,200000.0
345,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,49k,49000.0
346,Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,86k,86000.0
347,Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner,290k,290000.0
348,Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20k,20000.0
349,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18k,18000.0
350,Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner,180k,180000.0
351,Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,120k,120000.0
352,Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed,110k,110000.0
353,Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22k,22000.0
354,Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,81k,81000.0
355,Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25k,25000.0
356,Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56k,56000.0
357,Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150k,150000.0
358,Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110k,110000.0
359,Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47k,47000.0
360,Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4.9k,4900.0
361,Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9.4k,9400.0
362,G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10k,10000.0
363,"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner,140k,140000.0
364,Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,100k,100000.0
365,Game Theory,Stanford University,COURSE,4.6,Beginner,260k,260000.0
366,Gamification,University of Pennsylvania,COURSE,4.8,Mixed,110k,110000.0
367,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14k,14000.0
368,Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80k,80000.0
369,Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,97k,97000.0
370,Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed,19k,19000.0
371,Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,34k,34000.0
372,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47k,47000.0
373,Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14k,14000.0
374,Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59k,59000.0
375,Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,73k,73000.0
376,Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59k,59000.0
377,Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,75k,75000.0
378,Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,18k,18000.0
379,Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22k,22000.0
380,Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Mixed,79k,79000.0
381,Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29k,29000.0
382,Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner,10k,10000.0
383,Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22k,22000.0
384,Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,37k,37000.0
385,Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3.6k,3600.0
386,Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7.6k,7600.0
387,"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44k,44000.0
388,Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3.8k,3800.0
389,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120k,120000.0
390,Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36k,36000.0
391,Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93k,93000.0
392,Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350k,350000.0
393,Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,430k,430000.0
394,Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10k,10000.0
395,Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,260k,260000.0
396,Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56k,56000.0
397,Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210k,210000.0
398,Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62k,62000.0
399,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed,240k,240000.0
400,Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43k,43000.0
401,Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62k,62000.0
402,Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7.4k,7400.0
403,Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39k,39000.0
404,Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8.1k,8100.0
405,Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5.4k,5400.0
406,Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1.7k,1700.0
407,Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36k,36000.0
408,Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5.5k,5500.0
409,"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46k,46000.0
410,Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5.5k,5500.0
411,"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28k,28000.0
412,How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170k,170000.0
413,How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed,140k,140000.0
414,How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34k,34000.0
415,Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98k,98000.0
416,IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140k,140000.0
417,IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3.5k,3500.0
418,IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,220k,220000.0
419,IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3.3k,3300.0
420,IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480k,480000.0
421,IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35k,35000.0
422,IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62k,62000.0
423,"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1.7k,1700.0
424,Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23k,23000.0
425,Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2.2k,2200.0
426,Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610k,610000.0
427,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,270k,270000.0
428,Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18k,18000.0
429,In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,79k,79000.0
430,Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,51k,51000.0
431,Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34k,34000.0
432,Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5.0,Intermediate,1.6k,1600.0
433,Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12k,12000.0
434,"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22k,22000.0
435,Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32k,32000.0
436,Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10k,10000.0
437,Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,16k,16000.0
438,Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed,180k,180000.0
439,Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,40k,40000.0
440,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10k,10000.0
441,Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25k,25000.0
442,Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,72k,72000.0
443,Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97k,97000.0
444,Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed,85k,85000.0
445,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12k,12000.0
446,Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9.7k,9700.0
447,Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14k,14000.0
448,Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8.7k,8700.0
449,Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150k,150000.0
450,Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6.5k,6500.0
451,International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22k,22000.0
452,International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25k,25000.0
453,International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22k,22000.0
454,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36k,36000.0
455,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19k,19000.0
456,International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41k,41000.0
457,International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26k,26000.0
458,International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20k,20000.0
459,International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2.2k,2200.0
460,International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35k,35000.0
461,International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11k,11000.0
462,Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36k,36000.0
463,Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38k,38000.0
464,Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66k,66000.0
465,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140k,140000.0
466,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100k,100000.0
467,Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46k,46000.0
468,Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60k,60000.0
469,Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44k,44000.0
470,Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed,160k,160000.0
471,Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16k,16000.0
472,Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,27k,27000.0
473,Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14k,14000.0
474,Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed,84k,84000.0
475,Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53k,53000.0
476,Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46k,46000.0
477,Introduction to Classical Music,Yale University,COURSE,4.9,Mixed,150k,150000.0
478,Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2.6k,2600.0
479,Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20k,20000.0
480,Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32k,32000.0
481,Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Mixed,130k,130000.0
482,Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27k,27000.0
483,Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32k,32000.0
484,Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30k,30000.0
485,Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed,99k,99000.0
486,Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310k,310000.0
487,Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,390k,390000.0
488,Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25k,25000.0
489,Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75k,75000.0
490,Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Mixed,110k,110000.0
491,Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,41k,41000.0
492,Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Mixed,150k,150000.0
493,Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,34k,34000.0
494,Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed,200k,200000.0
495,Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47k,47000.0
496,Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed,79k,79000.0
497,Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed,74k,74000.0
498,Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,42k,42000.0
499,Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed,220k,220000.0
500,Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,54k,54000.0
501,Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6k,6000.0
502,Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Mixed,82k,82000.0
503,Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed,220k,220000.0
504,Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate,270k,270000.0
505,Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Mixed,87k,87000.0
506,Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner,140k,140000.0
507,Introduction to Philosophy,The University of Edinburgh,COURSE,4.6,Mixed,370k,370000.0
508,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed,11k,11000.0
509,Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner,160k,160000.0
510,Introduction to Programming in C,Duke University,SPECIALIZATION,4.7,Beginner,82k,82000.0
511,Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner,270k,270000.0
512,Introduction to Psychology,Yale University,COURSE,4.9,Beginner,270k,270000.0
513,Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,49k,49000.0
514,Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced,39k,39000.0
515,Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Mixed,76k,76000.0
516,Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,12k,12000.0
517,Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,69k,69000.0
518,Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed,67k,67000.0
519,Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33k,33000.0
520,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.7,Intermediate,150k,150000.0
521,Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4.1k,4100.0
522,"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4.0,Intermediate,13k,13000.0
523,Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,72k,72000.0
524,Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,87k,87000.0
525,Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16k,16000.0
526,Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner,76k,76000.0
527,Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110k,110000.0
528,Introductory Human Physiology,Duke University,COURSE,4.7,Mixed,270k,270000.0
529,Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4.5k,4500.0
530,Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120k,120000.0
531,Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,99k,99000.0
532,Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14k,14000.0
533,Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49k,49000.0
534,Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner,4.4k,4400.0
535,Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,380k,380000.0
536,Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,160k,160000.0
537,Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22k,22000.0
